迫る	せまる
はっと	はっと
仰向け	あおむけ
帆	ほ
あっと言う間に	あっというまに
放り出す	ほうりだす
波間	なみま
消える	きえる
マスト	マスト
へばり付く	へばりつく
命	いのち
急旋回	きゅうせんかい
風速	ふうそく
煽る	あおる
横倒し	よこだおし
しまった	しまった
真っ青	まっさお
たちまち	たちまち
通り抜ける	とおりぬける
トッサニ	とっさに
勝つ	かつ
走り抜ける	はしりぬける
俺たち	おれたち
役目	やくめ
晒す	さらす
見過ごす	みすごす
一瞬	いっしゅん
行きかう	ゆくかう
見合わせる	みあわせる
ちらっと	ちらっと
中断	ちゅうだん
巧み	たくみ
バック	バック
揉む	もむ
さっと	さっと
ロープ	ロープ
無事	ぶじ
救助	きゅうじょ
送り届ける	おくりとどける
再び	ふたたび
終に	ついに
駆け寄る	かけよる
ヨットマン	ヨットマン
誇り	ほこり
誉め称える	ほめたたえる
入場券	にゅうじょうけん
見回す	みまわす
見つかる	みつかる
映る	うつる
劇映画	げきえいが
女優	じょゆう
筋	すじ
所々	ところどころ
上映	じょうえい
ヒロイン	ヒロイン
演じる	えんじる
役	やく
魅力的	みりょくてき
賞	しょう
男優	だんゆう
父親	ちちおや
いかにも	いかにも
ストーリー	ストーリー
天平	てんぴょう
いらか	いらか
シナリオ	シナリオ
ナレーション	ナレーション
唐	とう
高僧	こうそう
留学僧	りゅうがくそう
一行	いっこう
揚州	ようしゅう
雲綱	うんこう
普照	ふしょう
上がる	あがる
外国人	がいこくじん
群れ	むれ
道抗	どうこう
立ち止まる	たちどまる
指す	さす
大明寺	だいめいじ
鑑真	がんじん
居間	いま
混天儀	こんてんぎ
博学	はくがく
伺う	うかがう
香炉	こうろ
緩やか	ゆるやか
漂う	ただよう
経典	けいてん
綬解く	ひもとく
僧	そう
栄叡	ようえい
同じく	おなじく
奈良	なら
大安寺	だいあんじ
興福寺	こうふくじ
玄郎	げんろう
修行	しゅぎょう
弟子	でし
推薦	すいせん
控える	ひかえる
長老	ちょうろう
座	ざ
ほの暗い	ほのぐらい
重苦しい	おもくるしい
沈黙	ちんもく
支配	しはい
祥彦	しょうえん
辿り着く	たどりつく
徳清	とくせい
緊張	きんちょう
口をつぐむ	くちをつぐむ
語りかける	かたりかける
お前	おまえ
求法	ぐほう
燃える	もえる
目指す	めざす
旅立つ	たびだつ
仏典	ぶってん
授戒師	じゅかいし
応える	こたえる
戒律	かいりつ
法	ほう
左右	さゆう
顧みる	かえりみる
息を飲む	いきをのむ
注ぐ	そそぐ
口を開く	くちをひらく
恐れる	おそれる
思いがけない	おもいがけない
垂れる	たれる
普及率	ふきゅうりつ
高まる	たかまる
膨大	ぼうだい
達する	たっする
トランジスターラジオ	トランジスターラジオ
実用化	じつようか
人種	じんしゅ
刺す	さす
重傷	じゅうしょう
負う	おう
真似る	まねる
一概に	いちがいに
どれほど	どれほど
われわれ	われわれ
結局	けっきょく
御者	ぎょしゃ
いろんな	いろんな
ギャング	ギャング
ごっこ	ごっこ
大けが	おおけが
漸く	ようやく
これだけ	これだけ
良かれ悪しかれ	よかれあしかれ
使いこなす	つかいこなす
賢い	かしこい
修繕	しゅうぜん
トランプ	トランプ
一学期	いちがっき
何となく	なんとなく
つい	つい
奴隷	どれい
大活躍	だいかつやく
人物	じんぶつ
はらはら	はらはら
動き	うごき
図	ず
望遠鏡	ぼうえんきょう
放送局	ほうそうきょく
殺す	ころす
歌謡曲	かようきょく
キャーキャー	キャーキャー
極	きょく
寝不足	ねぶそく
視力	しりょく
眠たい	ねむたい
衰える	おとろえる
っぱなし	っぱなし
パチンパチン	パチンパチン
引き回す	ひきまわす
計画的	けいかくてき
パチット	パチット
スイッチを切る	スイッチをきる
積極的	せっきょくてき
ながら族	ながらぞく
完全	かんぜん
一度	いちど
癖	くせ
いずれにせよ	いずれにせよ
ボリューム	ボリューム
親父	おやじ
とうてい	とうてい
奴	やつ
鶴	つる
恩返し	おんがえし
字幕	じまく
画面	がめん
村はずれ	むらはずれ
語り手	かたりて
ふたり暮らし	ふたりぐらし
薪	たきぎ
農夫	のうふ
けたたましい	けたたましい
鳴き声	なきごえ
前方	ぜんぽう
罠	わな
罠にかかる	わなにかかる
救い	すくい
羽ばたき	はばたき
よしよし	よしよし
外る	はずる
羽ばたく	はばたく
見送る	みおくる
薄暗い	うすぐらい
土間	どま
縄	なわ
なう	なう
炉辺	ろばた
縫い物	ぬいもの
とも	とも
無言	むごん
囲炉裏	いろり
ちょろちょろ	ちょろちょろ
夜更け	よふけ
はあい	はあい
戸	と
蓑	みの
泊める	とめる
荒屋	あばらや
まあまあ	まあまあ
さあさあ	さあさあ
甘える	あまえる
明くる	あくる
忠実忠実しい	まめまめしい
親戚	しんせき
いっそ	いっそ
貧乏	びんぼう
手をつく	てをつく
機	はた
織る	おる
機織り場	はたおりば
わし	わし
小屋	こや
トンカラリ	トンカラリ
匹	ひき
差し出す	さしだす
何と	なんと
見事	みごと
織物	おりもの
綾錦	あやにしき
こっそり	こっそり
そっと	そっと
転がす	ころがす
駆け戻る	かけもどる
ペタント	ぺたんと
おい	おい
何で	なんで
胸	むね
正体	しょうたい
達者	たっしゃ
ひと声	ひとごえ
夕もや	ゆうもや
